eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	ACADEMIA PAULISTA DE LETRAS	LG DO AROUCHE, 312/324	3331-7222	CENTRO		4	6	613	355030866000102	3550308005003	66	SANTA CECILIA	9	SE	CENTRO	CENTRO	"A INSTITUIÇÃO; LITERATURA BRASILEIRA"				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ACERVO DA CHOQUE	R DR.BRÁULIO GOMES, N? 125/ 139 - CENTRO 01047-020		CENTRO	01047-020	1	2	87	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	AFFONSO TAUNAY	R TAQUARI, 549	6292-5126	MOOCA	03166-00	1	2	60	355030853000057	3550308005017	53	MOOCA	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA	19650202	25	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	AFONSO SCHMIDT	AV ELÍSIO T. LEITE, 1.470	3975-2305	VILA CRUZ DAS ALMAS	02801-00	1	2	108	355030829000168	3550308005119	29	FREGUESIA DO O	3	FREGUESIA-BRASILANDIA	NORTE	NORTE 2	BIBLIOTECA	19660416	25	ATENDE ÀS NORMAS	NÃO
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	AFPESP - ASSOCIAÇÃODOS FUNCIONÁRIOS PÚBLICOS DOS ESTADO DE SÃOPAULO	R FORMOSA,367 - 16 ANDAR	3338-0404/0338	CENTRO		4	6	609	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	ACERVO SOBRE O MOVIMENTO CONSTIT. DE 1932				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ALCEU AMOROSO LIMA (TEMÁTICA EM POESIA - 02/09/2006)	R HENRIQUE SCHAUMANN, 777	3082-5023	PINHEIROS	05413-02	1	2	99	355030862000093	3550308005052	62	PINHEIROS	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19791211		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ALVARO GUERRA	R PEDROSO DE MORAIS, 1.919	3031-7784	PINHEIROS	05419-00	1	2	106	355030802000060	3550308005106	2	ALTO DE PINHEIROS	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19550515		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ANNE FRANK	R COJUBA, 45	3078-6352	ITAIM		1	2	100	355030835000059	3550308005050	35	ITAIM BIBI	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19460125	170	ATENDE ÀS NORMAS	NÃO
ESTADUAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ARQUIVO DO ESTADO - BIBLIOTECA	R VOLUNTÁRIOS DA PSSTRIA, 596	6221-4785	SANTANA	01307-01	2	2	73	355030870000058	3550308005064	70	SANTANA	5	SANTANA-TUCURUVI	NORTE	NORTE 1					
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	ASSOCIAÇÃOO VIVA O CENTRO	R LÍBERO BADARO, 425 - 4 ANDAR	3556-8999	CENTRO		4	6	605	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	ARQUITETURA, URBANISMO, PATR. HIST. DE SP				
